GENERATION,BEST,AVG,WORST
0,-5230974.03,-5601207.77,-6148977.04
1,-5073281.84,-5478096.76,-5865696.4
2,-5028482.45,-5384961.48,-5870020.41
3,-5012357.49,-5257826.15,-5771315.34
4,-4980089.37,-5179429.43,-5612829.48
5,-4867149.1,-5079899.26,-5388284.55
6,-4762263.6,-5043510.03,-5393481.64
7,-4747830.28,-4960452.4,-5292502.51
8,-4693578.55,-4900274.96,-5312171.64
9,-4644535.29,-4875109.45,-5362364.53
10,-4547741.3,-4827430.22,-5236658.81
11,-4558461.07,-4785282.79,-5095692.35
12,-4458848.77,-4703868.24,-5022245.43
13,-4382762.65,-4674763.93,-5030784.17
14,-4445853.74,-4672425.49,-5016916.09
15,-4417963.48,-4670153.33,-5052040.2
16,-4399645.23,-4642339.36,-5308462.4
17,-4343765.0,-4581208.98,-4954420.52
18,-4259718.95,-4563952.01,-4944329.82
19,-4273527.85,-4539417.83,-4824778.68
20,-4242928.47,-4468135.64,-4856184.09
21,-4127094.17,-4439159.89,-4896533.98
22,-4094936.73,-4393044.07,-4836152.21
23,-4019420.46,-4350614.72,-4776370.2
24,-4059107.29,-4311789.46,-4615957.27
25,-4088105.07,-4289875.15,-4622454.91
26,-4026908.47,-4261638.64,-4504829.76
