GENERATION,BEST,AVG,WORST
159,-45597.1,-57012.1,-135587.77
160,-45597.1,-55711.74,-120324.76
161,-45597.1,-58698.26,-151104.52
162,-45597.1,-56100.49,-132703.76
163,-45597.1,-55907.11,-141292.01
164,-45597.1,-56060.4,-122524.06
165,-45597.1,-55743.58,-134144.1
166,-45597.1,-56331.83,-137060.54
167,-45597.1,-55436.76,-131827.43
168,-45597.1,-54188.86,-123753.76
169,-45597.1,-55472.66,-118210.89
170,-45597.1,-57211.87,-151579.52
171,-45597.1,-57249.7,-134842.22
172,-45597.1,-56223.6,-143509.96
173,-45597.1,-56803.4,-161521.99
174,-45597.1,-55594.14,-136634.91
175,-45597.1,-55054.86,-117591.56
176,-45597.1,-56765.28,-154165.14
177,-45597.1,-57259.54,-136562.8
178,-45597.1,-54915.06,-140659.49
179,-45597.1,-56074.48,-142464.05
180,-45597.1,-56257.39,-117773.25
181,-45597.1,-57231.8,-132053.02
182,-45597.1,-56763.63,-154869.82
183,-45597.1,-55036.28,-120683.96
184,-45597.1,-55446.19,-136009.67
185,-45597.1,-55968.46,-142617.57
186,-45597.1,-56347.13,-132347.88
187,-45597.1,-55697.65,-121644.38
188,-45597.1,-55540.16,-118163.95
189,-45597.1,-55590.97,-128231.04
190,-45597.1,-56697.63,-125318.46
191,-45597.1,-58032.53,-132099.55
192,-45597.1,-56018.45,-136399.47
193,-45597.1,-55760.98,-115052.95
194,-45597.1,-55673.78,-118789.47
195,-45597.1,-55900.28,-141608.05
196,-45597.1,-54863.37,-128906.02
197,-45597.1,-57807.04,-127097.36
198,-45597.1,-56827.72,-130554.24
199,-45597.1,-55972.44,-130551.71
200,-45597.1,-56053.16,-117974.15
201,-45597.1,-55596.01,-130362.66
202,-45597.1,-56859.91,-150212.07
203,-45597.1,-56291.4,-153667.47
204,-45597.1,-56064.83,-132720.74
205,-45597.1,-55903.76,-124868.01
206,-45597.1,-57037.08,-119781.45
207,-45597.1,-57499.62,-140598.09
208,-45597.1,-57512.76,-138905.08
209,-45597.1,-57239.06,-132579.67
210,-45597.1,-56965.29,-124457.26
211,-45597.1,-56766.29,-167766.65
212,-45597.1,-55948.14,-132483.95
213,-45597.1,-56829.99,-121846.56
214,-45597.1,-56575.95,-123397.5
215,-45597.1,-55737.91,-140136.15
216,-45597.1,-56829.34,-147579.54
217,-45597.1,-56273.97,-144991.1
218,-45597.1,-56118.83,-127591.6
219,-45597.1,-56499.32,-140468.75
220,-45597.1,-55031.66,-124792.98
221,-45597.1,-56807.0,-142573.34
222,-45597.1,-57606.89,-128592.53
223,-45597.1,-57312.2,-143659.65
224,-45597.1,-57510.36,-171116.23
225,-45597.1,-55474.74,-113456.93
226,-45597.1,-56513.86,-129174.04
227,-45597.1,-56600.49,-133532.24
228,-45597.1,-56050.93,-156613.44
229,-45597.1,-57443.32,-136676.57
230,-45597.1,-57772.76,-137382.2
231,-45597.1,-55966.66,-162044.7
232,-45597.1,-54666.72,-125478.22
233,-45597.1,-55209.16,-122961.66
234,-45597.1,-56365.79,-127510.62
235,-45597.1,-56024.72,-137037.31
236,-45597.1,-55518.67,-125023.79
237,-45597.1,-55287.02,-116041.73
238,-45597.1,-56664.92,-144110.89
239,-45597.1,-53769.77,-110886.33
240,-45597.1,-56231.89,-137968.61
241,-45597.1,-55822.22,-133910.74
242,-45597.1,-53994.73,-136779.3
243,-45597.1,-55706.1,-127181.86
244,-45597.1,-57161.83,-140187.26
245,-45597.1,-57025.77,-167337.36
246,-45597.1,-57434.51,-133436.82
247,-45597.1,-55612.83,-130917.33
248,-45597.1,-56127.7,-141397.16
249,-45597.1,-58343.49,-138875.84
250,-45597.1,-56196.54,-123049.99
251,-45597.1,-54971.92,-113707.66
252,-45597.1,-57392.57,-132079.36
253,-45597.1,-55475.37,-149151.95
254,-45597.1,-57285.35,-138275.12
255,-45597.1,-56954.94,-137087.89
256,-45597.1,-57296.19,-136097.47
257,-45597.1,-56192.63,-130273.61
258,-45597.1,-55909.91,-132324.48
259,-45597.1,-54405.79,-110886.33
260,-45597.1,-56328.08,-167934.98
261,-45597.1,-56989.53,-146097.77
262,-45597.1,-57534.52,-139262.74
263,-45597.1,-55975.31,-127371.27
264,-45597.1,-53979.47,-129101.56
265,-45597.1,-55221.27,-134785.78
266,-45597.1,-57222.53,-131744.04
267,-45597.1,-55625.15,-153660.44
268,-45597.1,-55710.26,-137639.11
269,-45597.1,-55081.42,-115195.35
270,-45597.1,-56538.19,-152029.23
271,-45597.1,-55405.03,-115260.36
272,-45597.1,-56231.94,-131727.47
273,-45597.1,-57055.5,-168531.24
274,-45597.1,-55772.47,-140315.86
275,-45597.1,-55215.18,-144987.14
276,-45597.1,-57317.94,-141399.14
277,-45597.1,-55180.29,-119656.38
278,-45597.1,-56546.09,-133395.4
279,-45597.1,-55296.28,-148669.82
280,-45597.1,-55898.24,-138546.9
281,-45597.1,-55121.97,-118416.86
282,-45597.1,-55615.64,-123403.3
283,-45597.1,-55832.9,-118803.99
284,-45597.1,-56984.97,-127837.51
285,-45597.1,-55641.89,-128572.95
286,-45597.1,-56553.36,-143467.29
287,-45597.1,-55726.45,-125386.7
288,-45597.1,-57923.58,-124750.66
289,-45597.1,-55292.49,-124044.88
290,-45597.1,-56577.91,-132112.8
291,-45597.1,-54530.4,-123143.13
292,-45597.1,-55371.86,-124924.71
293,-45597.1,-54605.11,-124439.89
294,-45597.1,-56458.16,-121613.53
295,-45597.1,-57026.29,-150461.04
296,-45597.1,-54071.69,-114966.55
297,-45597.1,-56182.3,-140122.44
298,-45597.1,-55498.28,-127040.76
299,-45597.1,-57483.24,-158736.15
300,-45597.1,-55155.82,-129382.03
301,-45597.1,-55976.34,-139722.07
302,-45597.1,-57249.7,-129424.53
303,-45597.1,-54667.94,-119537.18
304,-45597.1,-56196.38,-145343.81
305,-45597.1,-55611.77,-128492.38
306,-45597.1,-56034.93,-127101.2
307,-45597.1,-55689.47,-132337.53
308,-45597.1,-55439.92,-134999.9
309,-45597.1,-54796.27,-127750.44
310,-45597.1,-56310.08,-144370.43
311,-45597.1,-55916.42,-113384.39
312,-45597.1,-58349.35,-160712.77
313,-45597.1,-56279.33,-149423.3
314,-45597.1,-56511.92,-136046.94
315,-45597.1,-56367.89,-116729.83
316,-45597.1,-56233.67,-141807.96
317,-45597.1,-56739.81,-132867.19
318,-45597.1,-55961.94,-117973.14
319,-45597.1,-55727.71,-141926.92
320,-45597.1,-56581.96,-144549.46
321,-45597.1,-55323.1,-136047.39
322,-45597.1,-55423.07,-134864.0
323,-45597.1,-56077.93,-161310.99
324,-45597.1,-55952.72,-129829.38
325,-45597.1,-55265.93,-135400.52
326,-45597.1,-55719.64,-124170.9
327,-45597.1,-56586.15,-149861.27
328,-45597.1,-56450.83,-121390.84
329,-45597.1,-55604.09,-139010.56
330,-45597.1,-56586.11,-130001.06
331,-45597.1,-56434.71,-115253.11
332,-45597.1,-58050.9,-132294.14
333,-45597.1,-56604.58,-120050.86
334,-45597.1,-55875.3,-125890.86
335,-45597.1,-56190.87,-146523.98
336,-45597.1,-54575.01,-139600.54
337,-45597.1,-57220.13,-127722.59
338,-45597.1,-57367.63,-122610.48
339,-45597.1,-56793.96,-145385.53
340,-45597.1,-57015.16,-139982.32
341,-45597.1,-56413.63,-132905.32
342,-45597.1,-55790.52,-140747.49
343,-45597.1,-57373.48,-123086.35
344,-45597.1,-56695.26,-131808.0
345,-45597.1,-57655.85,-134872.28
346,-45597.1,-56804.54,-138045.34
347,-45597.1,-57138.75,-134113.87
348,-45597.1,-57744.72,-121886.59
349,-45597.1,-55412.16,-139505.32
350,-45597.1,-55797.22,-134101.77
351,-45597.1,-56404.17,-124785.26
352,-45597.1,-54392.23,-134360.23
353,-45597.1,-55502.78,-132297.34
354,-45597.1,-54733.84,-140566.94
355,-45597.1,-56682.41,-123335.74
356,-45597.1,-57364.0,-122873.43
357,-45597.1,-56079.79,-141867.17
358,-45597.1,-55954.73,-130444.7
359,-45597.1,-55363.57,-139343.82
360,-45597.1,-56948.91,-148546.61
361,-45597.1,-55434.37,-125256.15
362,-45597.1,-57062.33,-130545.39
363,-45597.1,-56453.92,-127379.6
364,-45597.1,-55288.18,-149372.02
365,-45597.1,-56425.18,-166766.13
366,-45597.1,-56058.21,-159274.76
367,-45597.1,-55601.49,-129800.84
368,-45597.1,-57044.68,-132880.29
369,-45597.1,-56300.12,-141713.32
370,-45597.1,-55443.57,-139791.78
371,-45597.1,-54752.68,-139525.43
372,-45597.1,-54837.24,-125748.05
373,-45597.1,-55603.58,-146842.13
374,-45597.1,-55412.61,-134928.87
375,-45597.1,-56211.24,-133751.99
376,-45597.1,-56107.45,-158676.55
