GENERATION,BEST,AVG,WORST
0,-121828.42,-146130.5,-177113.26
1,-93101.0,-132139.91,-156475.82
2,-88456.25,-118164.49,-148148.98
3,-85024.79,-106537.17,-135485.74
4,-80607.94,-95870.18,-137168.84
5,-76471.06,-90136.69,-117190.31
6,-73153.8,-86984.0,-111970.71
7,-70086.22,-83968.35,-114375.82
8,-69765.0,-82906.28,-104887.62
9,-68456.79,-78320.39,-99915.3
10,-64263.59,-78915.68,-139303.16
11,-60923.6,-72793.35,-107257.24
12,-58255.04,-70544.93,-110433.41
13,-53352.61,-65247.71,-92660.64
14,-50428.25,-62782.98,-115114.79
15,-48573.36,-58979.53,-87883.3
16,-47116.86,-57677.04,-87959.06
17,-47116.86,-56018.42,-83442.47
18,-44490.86,-55127.22,-79350.14
19,-43647.36,-52884.42,-83677.93
20,-41127.77,-51975.73,-78531.38
21,-41127.77,-52010.72,-86983.14
22,-40413.36,-49751.03,-83237.56
23,-39510.96,-47559.86,-81564.9
24,-39510.96,-47052.82,-76475.27
25,-37442.46,-48448.72,-79481.27
26,-36317.12,-46973.9,-91609.94
27,-36233.39,-46799.86,-74899.68
28,-34396.7,-43503.42,-82486.13
29,-34226.54,-42563.01,-72478.05
30,-33097.96,-40646.43,-68292.02
31,-32859.27,-39773.6,-58364.96
32,-30462.91,-40027.9,-76825.02
33,-30462.91,-38828.89,-66818.45
34,-30138.26,-36220.61,-66068.36
35,-29854.83,-34897.25,-67917.7
36,-29589.54,-35472.13,-62643.45
37,-29396.56,-36292.16,-78453.87
38,-27815.29,-35217.31,-62803.24
39,-24604.47,-34561.42,-67796.5
40,-23985.68,-33295.17,-65421.34
41,-23985.68,-32150.45,-65582.15
42,-23579.39,-30522.79,-65123.9
43,-23311.86,-28531.37,-59535.39
44,-22665.21,-28705.21,-62345.22
45,-22665.21,-28187.27,-56425.78
46,-22150.6,-30488.73,-61303.04
47,-22150.6,-28825.42,-54203.33
48,-20772.89,-29189.56,-66864.09
49,-20331.77,-27619.35,-54916.32
50,-20331.77,-26133.29,-65225.18
51,-20331.77,-26770.77,-68479.57
52,-18515.26,-25089.08,-55956.31
53,-18515.26,-25760.54,-66063.94
54,-18515.26,-26309.02,-57616.33
55,-18515.26,-23606.92,-74185.97
56,-18515.26,-24482.86,-57417.45
57,-17241.79,-23203.59,-72085.58
58,-17241.79,-25844.46,-63622.93
59,-17241.79,-23920.14,-56735.66
60,-17084.6,-25597.46,-52779.43
61,-16050.93,-25332.35,-69320.28
62,-15893.74,-22621.45,-55926.92
63,-15893.74,-26947.98,-67528.99
64,-15893.74,-23528.13,-66387.42
65,-15893.74,-22431.7,-61423.19
66,-15893.74,-22241.02,-57479.37
67,-14966.94,-20895.19,-46861.61
68,-14966.94,-19941.99,-42675.77
69,-14746.32,-22259.49,-54620.38
70,-14564.95,-22126.9,-62403.5
71,-14344.33,-18801.41,-65780.45
72,-14182.44,-20981.1,-51992.31
73,-13152.74,-21813.69,-55893.99
74,-13152.74,-19550.5,-57529.94
75,-13152.74,-19374.18,-47929.88
76,-13152.74,-19911.12,-48035.51
77,-11931.31,-18065.26,-48902.91
78,-11931.31,-17163.78,-45763.73
79,-11931.31,-17718.41,-50100.57
80,-11931.31,-18053.27,-44334.2
81,-11931.31,-17573.19,-44457.22
82,-11931.31,-17635.39,-53141.8
83,-11912.42,-17328.8,-66625.23
84,-11902.61,-17814.06,-44704.86
85,-11902.61,-18088.81,-47341.33
86,-11838.78,-17457.39,-59774.87
87,-11838.78,-17128.14,-45929.53
88,-11165.29,-19857.59,-65155.75
89,-11165.29,-15950.16,-57070.09
90,-11024.27,-17733.56,-47057.52
91,-11024.27,-16534.95,-39085.47
92,-11024.27,-16018.56,-52469.84
93,-11024.27,-18508.73,-51255.63
94,-10853.81,-17063.91,-50619.59
95,-10557.95,-15880.05,-56976.22
96,-10557.95,-16525.26,-46707.61
97,-10557.95,-16945.77,-54512.79
98,-10550.02,-15395.92,-40248.9
99,-10550.02,-17668.1,-73606.33
100,-10550.02,-15422.13,-44653.88
